"flight_id","flight_no","scheduled_departure","scheduled_arrival","departure_airport","arrival_airport","status","aircraft_code","actual_departure","actual_arrival"
29272,"PG0334","2017-09-05 13:20:00+00","2017-09-05 16:05:00+00","KGD","ESL","Scheduled","CR2",NULL,NULL
29440,"PG0065","2017-09-02 09:15:00+00","2017-09-02 15:05:00+00","UUD","VKO","Scheduled","319",NULL,NULL
32658,"PG0674","2017-08-19 06:35:00+00","2017-08-19 09:00:00+00","KRO","KJA","Scheduled","CR2",NULL,NULL
1,"PG0405","2017-07-16 06:35:00+00","2017-07-16 07:30:00+00","DME","LED","Arrived","321","2017-07-16 06:44:00+00","2017-07-16 07:39:00+00"
2,"PG0404","2017-08-05 16:05:00+00","2017-08-05 17:00:00+00","DME","LED","Arrived","321","2017-08-05 16:06:00+00","2017-08-05 17:01:00+00"
3,"PG0405","2017-08-05 06:35:00+00","2017-08-05 07:30:00+00","DME","LED","Arrived","321","2017-08-05 06:39:00+00","2017-08-05 07:34:00+00"
4,"PG0402","2017-09-09 09:25:00+00","2017-09-09 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
5,"PG0405","2017-08-16 06:35:00+00","2017-08-16 07:30:00+00","DME","LED","On Time","321",NULL,NULL
6,"PG0404","2017-08-16 16:05:00+00","2017-08-16 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
7,"PG0403","2017-08-16 08:25:00+00","2017-08-16 09:20:00+00","DME","LED","Delayed","321",NULL,NULL
8,"PG0402","2017-08-16 09:25:00+00","2017-08-16 10:20:00+00","DME","LED","On Time","321",NULL,NULL
9,"PG0405","2017-08-25 06:35:00+00","2017-08-25 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
10,"PG0402","2017-08-23 09:25:00+00","2017-08-23 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
11,"PG0403","2017-08-23 08:25:00+00","2017-08-23 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
12,"PG0404","2017-08-23 16:05:00+00","2017-08-23 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
13,"PG0405","2017-08-23 06:35:00+00","2017-08-23 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
14,"PG0402","2017-08-06 09:25:00+00","2017-08-06 10:20:00+00","DME","LED","Arrived","321","2017-08-06 09:28:00+00","2017-08-06 10:23:00+00"
15,"PG0402","2017-07-28 09:25:00+00","2017-07-28 10:20:00+00","DME","LED","Arrived","321","2017-07-28 09:31:00+00","2017-07-28 10:26:00+00"
16,"PG0403","2017-08-06 08:25:00+00","2017-08-06 09:20:00+00","DME","LED","Arrived","321","2017-08-06 08:27:00+00","2017-08-06 09:22:00+00"
17,"PG0404","2017-08-06 16:05:00+00","2017-08-06 17:00:00+00","DME","LED","Arrived","321","2017-08-06 16:05:00+00","2017-08-06 17:00:00+00"
18,"PG0405","2017-08-06 06:35:00+00","2017-08-06 07:30:00+00","DME","LED","Arrived","321","2017-08-06 06:39:00+00","2017-08-06 07:35:00+00"
19,"PG0403","2017-07-28 08:25:00+00","2017-07-28 09:20:00+00","DME","LED","Arrived","321","2017-07-28 08:27:00+00","2017-07-28 09:22:00+00"
20,"PG0403","2017-07-26 08:25:00+00","2017-07-26 09:20:00+00","DME","LED","Arrived","321","2017-07-26 08:28:00+00","2017-07-26 09:23:00+00"
21,"PG0405","2017-07-19 06:35:00+00","2017-07-19 07:30:00+00","DME","LED","Arrived","321","2017-07-19 06:36:00+00","2017-07-19 07:31:00+00"
22,"PG0404","2017-07-19 16:05:00+00","2017-07-19 17:00:00+00","DME","LED","Arrived","321","2017-07-19 16:06:00+00","2017-07-19 17:00:00+00"
23,"PG0403","2017-07-19 08:25:00+00","2017-07-19 09:20:00+00","DME","LED","Arrived","321","2017-07-19 08:29:00+00","2017-07-19 09:25:00+00"
24,"PG0402","2017-07-19 09:25:00+00","2017-07-19 10:20:00+00","DME","LED","Arrived","321","2017-07-19 09:29:00+00","2017-07-19 10:24:00+00"
25,"PG0404","2017-07-28 16:05:00+00","2017-07-28 17:00:00+00","DME","LED","Arrived","321","2017-07-28 16:11:00+00","2017-07-28 17:06:00+00"
26,"PG0405","2017-08-12 06:35:00+00","2017-08-12 07:30:00+00","DME","LED","Arrived","321","2017-08-12 09:41:00+00","2017-08-12 10:37:00+00"
27,"PG0404","2017-08-12 16:05:00+00","2017-08-12 17:00:00+00","DME","LED","Arrived","321","2017-08-12 16:07:00+00","2017-08-12 17:02:00+00"
28,"PG0405","2017-09-03 06:35:00+00","2017-09-03 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
29,"PG0403","2017-08-12 08:25:00+00","2017-08-12 09:20:00+00","DME","LED","Arrived","321","2017-08-12 08:28:00+00","2017-08-12 09:23:00+00"
30,"PG0402","2017-08-12 09:25:00+00","2017-08-12 10:20:00+00","DME","LED","Arrived","321","2017-08-12 09:28:00+00","2017-08-12 10:23:00+00"
31,"PG0404","2017-09-03 16:05:00+00","2017-09-03 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
32,"PG0403","2017-09-03 08:25:00+00","2017-09-03 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
33,"PG0402","2017-09-03 09:25:00+00","2017-09-03 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
34,"PG0402","2017-08-07 09:25:00+00","2017-08-07 10:20:00+00","DME","LED","Arrived","321","2017-08-07 09:29:00+00","2017-08-07 10:24:00+00"
35,"PG0403","2017-08-07 08:25:00+00","2017-08-07 09:20:00+00","DME","LED","Arrived","321","2017-08-07 08:29:00+00","2017-08-07 09:24:00+00"
36,"PG0404","2017-08-07 16:05:00+00","2017-08-07 17:00:00+00","DME","LED","Arrived","321","2017-08-07 16:09:00+00","2017-08-07 17:04:00+00"
37,"PG0405","2017-08-07 06:35:00+00","2017-08-07 07:30:00+00","DME","LED","Arrived","321","2017-08-07 06:38:00+00","2017-08-07 07:34:00+00"
38,"PG0405","2017-07-28 06:35:00+00","2017-07-28 07:30:00+00","DME","LED","Arrived","321","2017-07-28 06:36:00+00","2017-07-28 07:30:00+00"
39,"PG0405","2017-09-08 06:35:00+00","2017-09-08 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
40,"PG0402","2017-09-13 09:25:00+00","2017-09-13 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
41,"PG0403","2017-09-13 08:25:00+00","2017-09-13 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
42,"PG0404","2017-09-13 16:05:00+00","2017-09-13 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
43,"PG0405","2017-09-13 06:35:00+00","2017-09-13 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
44,"PG0404","2017-09-08 16:05:00+00","2017-09-08 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
45,"PG0403","2017-09-08 08:25:00+00","2017-09-08 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
46,"PG0405","2017-08-15 06:35:00+00","2017-08-15 07:30:00+00","DME","LED","Arrived","321","2017-08-15 06:38:00+00","2017-08-15 07:33:00+00"
47,"PG0404","2017-08-15 16:05:00+00","2017-08-15 17:00:00+00","DME","LED","On Time","321",NULL,NULL
48,"PG0403","2017-08-15 08:25:00+00","2017-08-15 09:20:00+00","DME","LED","Arrived","321","2017-08-15 08:30:00+00","2017-08-15 09:25:00+00"
49,"PG0402","2017-08-15 09:25:00+00","2017-08-15 10:20:00+00","DME","LED","Arrived","321","2017-08-15 09:28:00+00","2017-08-15 10:24:00+00"
50,"PG0402","2017-08-08 09:25:00+00","2017-08-08 10:20:00+00","DME","LED","Arrived","321","2017-08-08 09:26:00+00","2017-08-08 10:21:00+00"
51,"PG0403","2017-08-08 08:25:00+00","2017-08-08 09:20:00+00","DME","LED","Arrived","321","2017-08-08 08:25:00+00","2017-08-08 09:20:00+00"
52,"PG0404","2017-08-08 16:05:00+00","2017-08-08 17:00:00+00","DME","LED","Arrived","321","2017-08-08 19:05:00+00","2017-08-08 19:59:00+00"
53,"PG0405","2017-08-08 06:35:00+00","2017-08-08 07:30:00+00","DME","LED","Arrived","321","2017-08-08 06:35:00+00","2017-08-08 07:30:00+00"
54,"PG0405","2017-07-18 06:35:00+00","2017-07-18 07:30:00+00","DME","LED","Arrived","321","2017-07-18 06:40:00+00","2017-07-18 07:35:00+00"
55,"PG0404","2017-07-18 16:05:00+00","2017-07-18 17:00:00+00","DME","LED","Arrived","321","2017-07-18 16:08:00+00","2017-07-18 17:03:00+00"
56,"PG0403","2017-07-18 08:25:00+00","2017-07-18 09:20:00+00","DME","LED","Arrived","321","2017-07-18 11:48:00+00","2017-07-18 12:43:00+00"
57,"PG0402","2017-07-18 09:25:00+00","2017-07-18 10:20:00+00","DME","LED","Arrived","321","2017-07-18 09:29:00+00","2017-07-18 10:24:00+00"
58,"PG0402","2017-09-08 09:25:00+00","2017-09-08 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
59,"PG0402","2017-07-26 09:25:00+00","2017-07-26 10:20:00+00","DME","LED","Arrived","321","2017-07-26 09:28:00+00","2017-07-26 10:23:00+00"
60,"PG0402","2017-07-16 09:25:00+00","2017-07-16 10:20:00+00","DME","LED","Arrived","321","2017-07-16 09:27:00+00","2017-07-16 10:22:00+00"
61,"PG0403","2017-07-16 08:25:00+00","2017-07-16 09:20:00+00","DME","LED","Arrived","321","2017-07-16 12:15:00+00","2017-07-16 13:10:00+00"
62,"PG0404","2017-07-16 16:05:00+00","2017-07-16 17:00:00+00","DME","LED","Arrived","321","2017-07-16 16:08:00+00","2017-07-16 17:03:00+00"
63,"PG0402","2017-08-30 09:25:00+00","2017-08-30 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
64,"PG0403","2017-08-30 08:25:00+00","2017-08-30 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
65,"PG0405","2017-09-02 06:35:00+00","2017-09-02 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
66,"PG0404","2017-09-02 16:05:00+00","2017-09-02 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
67,"PG0404","2017-07-26 16:05:00+00","2017-07-26 17:00:00+00","DME","LED","Arrived","321","2017-07-26 16:06:00+00","2017-07-26 17:01:00+00"
68,"PG0403","2017-09-02 08:25:00+00","2017-09-02 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
69,"PG0402","2017-09-02 09:25:00+00","2017-09-02 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
70,"PG0404","2017-08-30 16:05:00+00","2017-08-30 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
71,"PG0405","2017-08-30 06:35:00+00","2017-08-30 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
72,"PG0402","2017-08-09 09:25:00+00","2017-08-09 10:20:00+00","DME","LED","Arrived","321","2017-08-09 09:27:00+00","2017-08-09 10:23:00+00"
73,"PG0403","2017-08-09 08:25:00+00","2017-08-09 09:20:00+00","DME","LED","Arrived","321","2017-08-09 08:30:00+00","2017-08-09 09:27:00+00"
74,"PG0404","2017-08-09 16:05:00+00","2017-08-09 17:00:00+00","DME","LED","Arrived","321","2017-08-09 19:18:00+00","2017-08-09 20:13:00+00"
75,"PG0405","2017-08-09 06:35:00+00","2017-08-09 07:30:00+00","DME","LED","Arrived","321","2017-08-09 06:39:00+00","2017-08-09 07:35:00+00"
76,"PG0405","2017-09-09 06:35:00+00","2017-09-09 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
77,"PG0402","2017-08-21 09:25:00+00","2017-08-21 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
78,"PG0402","2017-09-14 09:25:00+00","2017-09-14 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
79,"PG0403","2017-09-14 08:25:00+00","2017-09-14 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
80,"PG0404","2017-09-14 16:05:00+00","2017-09-14 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
81,"PG0405","2017-09-14 06:35:00+00","2017-09-14 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
82,"PG0402","2017-08-13 09:25:00+00","2017-08-13 10:20:00+00","DME","LED","Arrived","321","2017-08-13 09:30:00+00","2017-08-13 10:25:00+00"
83,"PG0402","2017-08-10 09:25:00+00","2017-08-10 10:20:00+00","DME","LED","Arrived","321","2017-08-10 12:54:00+00","2017-08-10 13:51:00+00"
84,"PG0403","2017-08-10 08:25:00+00","2017-08-10 09:20:00+00","DME","LED","Arrived","321","2017-08-10 08:28:00+00","2017-08-10 09:23:00+00"
85,"PG0404","2017-08-10 16:05:00+00","2017-08-10 17:00:00+00","DME","LED","Arrived","321","2017-08-10 16:10:00+00","2017-08-10 17:06:00+00"
86,"PG0405","2017-08-10 06:35:00+00","2017-08-10 07:30:00+00","DME","LED","Arrived","321","2017-08-10 06:37:00+00","2017-08-10 07:33:00+00"
87,"PG0405","2017-07-17 06:35:00+00","2017-07-17 07:30:00+00","DME","LED","Arrived","321","2017-07-17 06:40:00+00","2017-07-17 07:36:00+00"
88,"PG0404","2017-07-17 16:05:00+00","2017-07-17 17:00:00+00","DME","LED","Arrived","321","2017-07-17 16:06:00+00","2017-07-17 17:02:00+00"
89,"PG0403","2017-07-17 08:25:00+00","2017-07-17 09:20:00+00","DME","LED","Arrived","321","2017-07-17 08:30:00+00","2017-07-17 09:25:00+00"
90,"PG0402","2017-07-17 09:25:00+00","2017-07-17 10:20:00+00","DME","LED","Arrived","321","2017-07-17 09:25:00+00","2017-07-17 10:20:00+00"
91,"PG0405","2017-08-14 06:35:00+00","2017-08-14 07:30:00+00","DME","LED","Arrived","321","2017-08-14 06:37:00+00","2017-08-14 07:33:00+00"
92,"PG0404","2017-08-14 16:05:00+00","2017-08-14 17:00:00+00","DME","LED","Arrived","321","2017-08-14 16:05:00+00","2017-08-14 17:00:00+00"
93,"PG0403","2017-08-14 08:25:00+00","2017-08-14 09:20:00+00","DME","LED","Arrived","321","2017-08-14 08:26:00+00","2017-08-14 09:21:00+00"
94,"PG0402","2017-08-24 09:25:00+00","2017-08-24 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
95,"PG0403","2017-08-24 08:25:00+00","2017-08-24 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
96,"PG0402","2017-08-14 09:25:00+00","2017-08-14 10:20:00+00","DME","LED","Arrived","321","2017-08-14 09:30:00+00","2017-08-14 10:25:00+00"
97,"PG0404","2017-08-24 16:05:00+00","2017-08-24 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
98,"PG0405","2017-08-24 06:35:00+00","2017-08-24 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
99,"PG0403","2017-08-21 08:25:00+00","2017-08-21 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
100,"PG0402","2017-09-10 09:25:00+00","2017-09-10 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
101,"PG0405","2017-09-01 06:35:00+00","2017-09-01 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
102,"PG0404","2017-09-01 16:05:00+00","2017-09-01 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
103,"PG0403","2017-09-01 08:25:00+00","2017-09-01 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
104,"PG0402","2017-09-01 09:25:00+00","2017-09-01 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
105,"PG0403","2017-09-10 08:25:00+00","2017-09-10 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
106,"PG0402","2017-08-11 09:25:00+00","2017-08-11 10:20:00+00","DME","LED","Arrived","321","2017-08-11 09:27:00+00","2017-08-11 10:23:00+00"
107,"PG0403","2017-08-11 08:25:00+00","2017-08-11 09:20:00+00","DME","LED","Arrived","321","2017-08-11 08:27:00+00","2017-08-11 09:21:00+00"
108,"PG0404","2017-08-11 16:05:00+00","2017-08-11 17:00:00+00","DME","LED","Arrived","321","2017-08-11 16:10:00+00","2017-08-11 17:04:00+00"
109,"PG0405","2017-08-11 06:35:00+00","2017-08-11 07:30:00+00","DME","LED","Arrived","321","2017-08-11 06:36:00+00","2017-08-11 07:31:00+00"
110,"PG0403","2017-08-13 08:25:00+00","2017-08-13 09:20:00+00","DME","LED","Arrived","321","2017-08-13 08:28:00+00","2017-08-13 09:23:00+00"
111,"PG0404","2017-09-10 16:05:00+00","2017-09-10 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
112,"PG0405","2017-09-10 06:35:00+00","2017-09-10 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
113,"PG0404","2017-08-13 16:05:00+00","2017-08-13 17:00:00+00","DME","LED","Arrived","321","2017-08-13 16:07:00+00","2017-08-13 17:02:00+00"
114,"PG0405","2017-08-13 06:35:00+00","2017-08-13 07:30:00+00","DME","LED","Arrived","321","2017-08-13 06:39:00+00","2017-08-13 07:34:00+00"
115,"PG0402","2017-08-31 09:25:00+00","2017-08-31 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
116,"PG0403","2017-08-31 08:25:00+00","2017-08-31 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
117,"PG0405","2017-08-27 06:35:00+00","2017-08-27 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
118,"PG0404","2017-08-21 16:05:00+00","2017-08-21 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
119,"PG0404","2017-08-27 16:05:00+00","2017-08-27 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
120,"PG0404","2017-08-31 16:05:00+00","2017-08-31 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
121,"PG0405","2017-08-31 06:35:00+00","2017-08-31 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
122,"PG0405","2017-08-21 06:35:00+00","2017-08-21 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
123,"PG0402","2017-07-29 09:25:00+00","2017-07-29 10:20:00+00","DME","LED","Arrived","321","2017-07-29 09:27:00+00","2017-07-29 10:22:00+00"
124,"PG0403","2017-07-29 08:25:00+00","2017-07-29 09:20:00+00","DME","LED","Arrived","321","2017-07-29 08:25:00+00","2017-07-29 09:20:00+00"
125,"PG0404","2017-07-29 16:05:00+00","2017-07-29 17:00:00+00","DME","LED","Arrived","321","2017-07-29 16:07:00+00","2017-07-29 17:02:00+00"
126,"PG0405","2017-07-29 06:35:00+00","2017-07-29 07:30:00+00","DME","LED","Arrived","321","2017-07-29 06:37:00+00","2017-07-29 07:31:00+00"
127,"PG0403","2017-08-27 08:25:00+00","2017-08-27 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
128,"PG0402","2017-08-27 09:25:00+00","2017-08-27 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
129,"PG0405","2017-07-24 06:35:00+00","2017-07-24 07:30:00+00","DME","LED","Arrived","321","2017-07-24 06:41:00+00","2017-07-24 07:36:00+00"
130,"PG0404","2017-07-24 16:05:00+00","2017-07-24 17:00:00+00","DME","LED","Arrived","321","2017-07-24 16:05:00+00","2017-07-24 17:00:00+00"
131,"PG0403","2017-07-24 08:25:00+00","2017-07-24 09:20:00+00","DME","LED","Arrived","321","2017-07-24 08:28:00+00","2017-07-24 09:23:00+00"
132,"PG0402","2017-07-24 09:25:00+00","2017-07-24 10:20:00+00","DME","LED","Arrived","321","2017-07-24 09:29:00+00","2017-07-24 10:24:00+00"
133,"PG0405","2017-08-19 06:35:00+00","2017-08-19 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
134,"PG0404","2017-08-19 16:05:00+00","2017-08-19 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
135,"PG0403","2017-08-19 08:25:00+00","2017-08-19 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
136,"PG0402","2017-08-19 09:25:00+00","2017-08-19 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
137,"PG0404","2017-08-25 16:05:00+00","2017-08-25 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
138,"PG0405","2017-09-07 06:35:00+00","2017-09-07 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
139,"PG0402","2017-07-30 09:25:00+00","2017-07-30 10:20:00+00","DME","LED","Arrived","321","2017-07-30 09:30:00+00","2017-07-30 10:25:00+00"
140,"PG0403","2017-07-30 08:25:00+00","2017-07-30 09:20:00+00","DME","LED","Arrived","321","2017-07-30 08:27:00+00","2017-07-30 09:22:00+00"
141,"PG0404","2017-07-30 16:05:00+00","2017-07-30 17:00:00+00","DME","LED","Arrived","321","2017-07-30 16:10:00+00","2017-07-30 17:06:00+00"
142,"PG0405","2017-07-30 06:35:00+00","2017-07-30 07:30:00+00","DME","LED","Arrived","321","2017-07-30 06:35:00+00","2017-07-30 07:30:00+00"
143,"PG0404","2017-09-07 16:05:00+00","2017-09-07 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
144,"PG0403","2017-09-07 08:25:00+00","2017-09-07 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
145,"PG0402","2017-09-07 09:25:00+00","2017-09-07 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
146,"PG0403","2017-08-25 08:25:00+00","2017-08-25 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
147,"PG0402","2017-08-28 09:25:00+00","2017-08-28 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
148,"PG0403","2017-08-28 08:25:00+00","2017-08-28 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
149,"PG0404","2017-08-28 16:05:00+00","2017-08-28 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
150,"PG0405","2017-08-28 06:35:00+00","2017-08-28 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
151,"PG0405","2017-08-20 06:35:00+00","2017-08-20 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
152,"PG0405","2017-07-23 06:35:00+00","2017-07-23 07:30:00+00","DME","LED","Arrived","321","2017-07-23 06:38:00+00","2017-07-23 07:32:00+00"
153,"PG0404","2017-07-23 16:05:00+00","2017-07-23 17:00:00+00","DME","LED","Arrived","321","2017-07-23 16:07:00+00","2017-07-23 17:02:00+00"
154,"PG0403","2017-07-23 08:25:00+00","2017-07-23 09:20:00+00","DME","LED","Arrived","321","2017-07-23 08:29:00+00","2017-07-23 09:24:00+00"
155,"PG0402","2017-07-23 09:25:00+00","2017-07-23 10:20:00+00","DME","LED","Arrived","321","2017-07-23 09:28:00+00","2017-07-23 10:24:00+00"
156,"PG0404","2017-08-20 16:05:00+00","2017-08-20 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
157,"PG0402","2017-07-31 09:25:00+00","2017-07-31 10:20:00+00","DME","LED","Arrived","321","2017-07-31 09:32:00+00","2017-07-31 10:26:00+00"
158,"PG0403","2017-07-31 08:25:00+00","2017-07-31 09:20:00+00","DME","LED","Arrived","321","2017-07-31 08:26:00+00","2017-07-31 09:21:00+00"
159,"PG0404","2017-07-31 16:05:00+00","2017-07-31 17:00:00+00","DME","LED","Arrived","321","2017-07-31 16:05:00+00","2017-07-31 17:00:00+00"
160,"PG0405","2017-07-31 06:35:00+00","2017-07-31 07:30:00+00","DME","LED","Arrived","321","2017-07-31 06:40:00+00","2017-07-31 07:36:00+00"
161,"PG0403","2017-08-20 08:25:00+00","2017-08-20 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
162,"PG0405","2017-08-18 06:35:00+00","2017-08-18 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
163,"PG0402","2017-08-20 09:25:00+00","2017-08-20 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
164,"PG0404","2017-08-18 16:05:00+00","2017-08-18 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
165,"PG0403","2017-08-18 08:25:00+00","2017-08-18 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
166,"PG0402","2017-08-18 09:25:00+00","2017-08-18 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
167,"PG0402","2017-07-27 09:25:00+00","2017-07-27 10:20:00+00","DME","LED","Arrived","321","2017-07-27 09:26:00+00","2017-07-27 10:21:00+00"
168,"PG0405","2017-09-06 06:35:00+00","2017-09-06 07:30:00+00","DME","LED","Scheduled","321",NULL,NULL
169,"PG0404","2017-09-06 16:05:00+00","2017-09-06 17:00:00+00","DME","LED","Scheduled","321",NULL,NULL
170,"PG0403","2017-09-06 08:25:00+00","2017-09-06 09:20:00+00","DME","LED","Scheduled","321",NULL,NULL
171,"PG0402","2017-09-06 09:25:00+00","2017-09-06 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
172,"PG0402","2017-09-11 09:25:00+00","2017-09-11 10:20:00+00","DME","LED","Scheduled","321",NULL,NULL
