"book_ref","book_date","total_amount"
"005BD6","2017-08-07 04:09:00+00","58000.00"
"005BFF","2017-08-11 18:11:00+00","45200.00"
"005C0B","2017-07-05 22:25:00+00","269600.00"
"005C0D","2017-08-02 09:08:00+00","88200.00"
"005C47","2017-07-26 01:40:00+00","28000.00"
"005C6C","2017-08-06 16:33:00+00","14400.00"
"005D11","2017-07-30 09:56:00+00","62000.00"
"005D5D","2017-08-14 12:08:00+00","53700.00"
"005E40","2017-07-25 02:06:00+00","6800.00"
"005E4E","2017-08-14 08:43:00+00","43500.00"
"005EBE","2017-07-09 08:03:00+00","134400.00"
"005EC4","2017-07-17 07:31:00+00","21800.00"
"005F02","2017-07-12 01:51:00+00","23200.00"
"005F35","2017-07-28 16:44:00+00","68800.00"
"005FBD","2017-07-01 03:38:00+00","29400.00"
"00603D","2017-07-16 10:39:00+00","99200.00"
"006081","2017-07-18 22:19:00+00","90800.00"
"006084","2017-07-23 15:54:00+00","57600.00"
"0060D3","2017-07-05 15:28:00+00","52900.00"
"00610D","2017-07-04 22:49:00+00","103200.00"
"006132","2017-07-02 13:40:00+00","171100.00"
"00613D","2017-07-25 12:17:00+00","68800.00"
"006149","2017-07-20 21:07:00+00","37100.00"
"006151","2017-08-01 23:10:00+00","34300.00"
"006157","2017-07-11 23:03:00+00","103200.00"
"006170","2017-07-26 15:22:00+00","17800.00"
"0061B4","2017-07-03 10:17:00+00","43600.00"
"00625D","2017-08-02 09:22:00+00","112000.00"
"0062DB","2017-08-04 22:05:00+00","34000.00"
"0062E8","2017-07-11 11:33:00+00","42400.00"
"006306","2017-08-04 11:43:00+00","29800.00"
"00635C","2017-07-12 23:47:00+00","13600.00"
"0063B3","2017-08-10 15:53:00+00","69500.00"
"0063CA","2017-08-04 00:39:00+00","29400.00"
"006404","2017-07-04 16:21:00+00","184300.00"
"006485","2017-07-12 13:59:00+00","37900.00"
"006498","2017-08-13 09:44:00+00","100600.00"
"0064D1","2017-08-14 23:09:00+00","65300.00"
"0064DD","2017-07-20 19:15:00+00","67600.00"
"0064E3","2017-08-12 03:43:00+00","42800.00"
"0065DC","2017-08-12 07:44:00+00","19600.00"
"006603","2017-08-13 21:17:00+00","153300.00"
"006624","2017-08-11 00:39:00+00","99700.00"
"00662A","2017-07-30 04:06:00+00","38400.00"
"0066BE","2017-07-29 16:45:00+00","40800.00"
"006704","2017-08-14 07:44:00+00","65900.00"
"006713","2017-07-28 12:09:00+00","46800.00"
"00673C","2017-08-12 15:47:00+00","87100.00"
"006837","2017-07-22 16:23:00+00","131100.00"
"006885","2017-07-24 14:54:00+00","52000.00"
"006906","2017-07-30 10:46:00+00","339300.00"
"00697B","2017-07-30 05:24:00+00","220800.00"
"0069AE","2017-08-04 18:34:00+00","8200.00"
"006B01","2017-08-03 20:35:00+00","69600.00"
"006B2A","2017-07-28 04:06:00+00","49800.00"
"006B6D","2017-07-05 10:58:00+00","84000.00"
"006B99","2017-08-08 17:47:00+00","14800.00"
"006BA1","2017-07-10 12:35:00+00","12600.00"
"006BAA","2017-07-11 09:01:00+00","28800.00"
"006BFD","2017-07-13 14:51:00+00","199700.00"
"006C55","2017-07-14 04:05:00+00","62600.00"
"006C5C","2017-07-31 04:45:00+00","81900.00"
"006CBB","2017-08-14 14:54:00+00","73600.00"
"006CC4","2017-07-12 05:20:00+00","6000.00"
"006D1A","2017-07-25 08:32:00+00","78200.00"
"006D45","2017-07-22 08:23:00+00","24400.00"
"006D5C","2017-07-22 19:04:00+00","40000.00"
"006D91","2017-07-25 19:20:00+00","66400.00"
"006E4E","2017-08-07 07:25:00+00","398500.00"
"006E64","2017-08-02 05:41:00+00","111600.00"
"006EEC","2017-07-21 22:41:00+00","62700.00"
"006F16","2017-08-05 08:00:00+00","28000.00"
"006F53","2017-08-14 16:28:00+00","16400.00"
"006F73","2017-08-04 21:35:00+00","28800.00"
"006FB9","2017-07-10 15:56:00+00","100600.00"
"006FBF","2017-07-30 00:49:00+00","21800.00"
"006FFF","2017-07-06 01:58:00+00","44000.00"
"00704E","2017-07-25 03:49:00+00","386300.00"
"007066","2017-07-20 01:37:00+00","46000.00"
"007085","2017-07-29 12:59:00+00","265800.00"
"0070BD","2017-07-11 05:32:00+00","115700.00"
"0070DF","2017-08-10 11:06:00+00","188000.00"
"0070F5","2017-06-30 19:05:00+00","62600.00"
"00711E","2017-07-30 00:58:00+00","20200.00"
"00717E","2017-07-01 06:26:00+00","34000.00"
"0071AE","2017-07-20 21:42:00+00","46400.00"
"0071C1","2017-08-09 07:52:00+00","6000.00"
"007225","2017-07-16 18:43:00+00","39500.00"
"007232","2017-07-28 03:12:00+00","72400.00"
"007247","2017-07-27 03:42:00+00","167500.00"
"00724C","2017-07-21 22:46:00+00","114200.00"
"007264","2017-08-10 19:11:00+00","18000.00"
"0072A0","2017-07-07 14:26:00+00","67600.00"
"0072B1","2017-07-28 23:54:00+00","32700.00"
"007322","2017-08-03 08:44:00+00","40800.00"
"00737B","2017-07-10 05:58:00+00","75600.00"
"007382","2017-07-06 18:29:00+00","26200.00"
"0073C5","2017-07-07 16:14:00+00","47400.00"
"0073CF","2017-08-08 04:59:00+00","31000.00"
"0073D3","2017-07-20 02:51:00+00","131600.00"
"007407","2017-08-02 01:09:00+00","66000.00"
"00742A","2017-07-31 05:40:00+00","48800.00"
"00742E","2017-07-22 15:09:00+00","117200.00"
"007477","2017-07-11 23:35:00+00","46000.00"
"0074B9","2017-08-10 22:09:00+00","85600.00"
"0074DE","2017-07-09 20:39:00+00","40400.00"
"00752A","2017-08-09 23:55:00+00","283100.00"
"007602","2017-07-03 23:14:00+00","284400.00"
"007621","2017-07-16 13:55:00+00","56000.00"
"007624","2017-08-06 16:24:00+00","31600.00"
"007638","2017-07-28 00:57:00+00","43500.00"
"007649","2017-07-31 18:39:00+00","39300.00"
"0076CE","2017-07-20 02:37:00+00","12600.00"
"00770C","2017-08-14 17:51:00+00","19600.00"
"007784","2017-08-04 00:12:00+00","37900.00"
"0077E1","2017-07-14 12:19:00+00","6000.00"
"0077FC","2017-08-02 14:23:00+00","31600.00"
"00794E","2017-07-05 15:37:00+00","13600.00"
"007989","2017-08-12 10:32:00+00","26000.00"
"0079F6","2017-07-07 23:16:00+00","28000.00"
"007A31","2017-08-05 20:41:00+00","62000.00"
"007A53","2017-07-07 19:11:00+00","112400.00"
"007A89","2017-07-14 15:46:00+00","122600.00"
"007AD1","2017-07-08 10:17:00+00","36700.00"
"007B9B","2017-07-06 17:14:00+00","24200.00"
"007BE6","2017-07-13 11:21:00+00","56900.00"
"007C00","2017-07-26 18:34:00+00","52900.00"
"007C0D","2017-07-13 09:41:00+00","86300.00"
"007C11","2017-08-05 11:04:00+00","189800.00"
"007C4E","2017-08-10 07:28:00+00","265600.00"
"007C7D","2017-07-09 09:57:00+00","77600.00"
"007CA7","2017-07-29 00:51:00+00","7400.00"
"007DBF","2017-07-28 04:54:00+00","40800.00"
"007DE7","2017-07-10 17:28:00+00","46400.00"
"007DF3","2017-08-04 03:14:00+00","246000.00"
"007E54","2017-07-28 13:30:00+00","49100.00"
"007E78","2017-07-05 18:43:00+00","75300.00"
"007EE9","2017-07-31 11:36:00+00","55800.00"
"007F37","2017-07-29 07:24:00+00","280500.00"
"007F74","2017-07-19 08:01:00+00","23400.00"
"007F94","2017-08-13 04:02:00+00","66600.00"
"007FA8","2017-07-23 17:55:00+00","47200.00"
"007FD3","2017-08-08 08:10:00+00","67600.00"
"007FF3","2017-07-14 11:46:00+00","100700.00"
"007FFF","2017-07-13 02:32:00+00","56600.00"
"0080AB","2017-07-10 00:26:00+00","56900.00"
"0080FD","2017-07-07 04:34:00+00","36200.00"
"008130","2017-08-07 08:49:00+00","88800.00"
"00813F","2017-07-24 17:47:00+00","58400.00"
"00817F","2017-08-14 05:58:00+00","61900.00"
"008182","2017-07-13 23:09:00+00","31600.00"
"008191","2017-08-08 08:38:00+00","73300.00"
"0081C5","2017-07-13 01:37:00+00","27700.00"
"0081CA","2017-08-12 12:44:00+00","114700.00"
"008205","2017-08-15 04:56:00+00","36200.00"
"00823B","2017-07-15 18:09:00+00","26200.00"
"008279","2017-07-03 11:10:00+00","52900.00"
"0082C6","2017-07-12 14:56:00+00","76700.00"
"0082F8","2017-07-29 19:05:00+00","61800.00"
"00840C","2017-07-28 02:38:00+00","70700.00"
"008417","2017-07-03 02:32:00+00","55800.00"
"008441","2017-08-02 23:04:00+00","14000.00"
"008461","2017-07-01 06:58:00+00","52000.00"
"008462","2017-07-12 12:53:00+00","23200.00"
"00849B","2017-08-03 21:28:00+00","89700.00"
"0084AB","2017-07-24 15:01:00+00","59900.00"
"0084D4","2017-07-20 09:17:00+00","425500.00"
"008577","2017-07-26 18:06:00+00","40300.00"
"0085C7","2017-07-04 22:51:00+00","46400.00"
"0085DF","2017-07-05 03:24:00+00","168000.00"
"0085F1","2017-07-19 23:18:00+00","48700.00"
"0085F5","2017-07-03 23:55:00+00","36200.00"
"00860F","2017-07-28 11:16:00+00","31600.00"
"008612","2017-08-03 19:07:00+00","30400.00"
"0086F0","2017-08-10 08:49:00+00","265200.00"
"008712","2017-07-23 17:34:00+00","51600.00"
"008738","2017-07-15 11:53:00+00","23200.00"
"00878B","2017-07-26 15:10:00+00","64400.00"
"008791","2017-07-26 04:27:00+00","6000.00"
"0087C1","2017-06-26 10:43:00+00","28000.00"
"0087F3","2017-07-28 06:29:00+00","58400.00"
"0087F5","2017-08-04 09:44:00+00","122700.00"
"008805","2017-07-20 15:53:00+00","38800.00"
"008822","2017-06-29 18:33:00+00","64500.00"
"00885A","2017-08-01 04:21:00+00","55800.00"
"0088C7","2017-07-03 01:29:00+00","16400.00"
"008927","2017-08-12 13:55:00+00","117600.00"
"00893C","2017-07-07 21:18:00+00","32800.00"
"008978","2017-07-15 05:56:00+00","66600.00"
"0089F8","2017-07-16 16:47:00+00","257600.00"
"008A31","2017-06-28 09:12:00+00","56000.00"
"008A35","2017-08-15 05:55:00+00","38200.00"
"008A75","2017-08-06 09:43:00+00","90300.00"
"008A80","2017-08-11 02:55:00+00","90200.00"
"008B02","2017-07-16 13:54:00+00","52000.00"
"008B2D","2017-07-16 13:11:00+00","14000.00"
"008B45","2017-08-06 04:05:00+00","92800.00"
"008B47","2017-07-11 14:50:00+00","26000.00"
"008B53","2017-07-28 12:27:00+00","277800.00"
"008B8B","2017-08-07 11:42:00+00","266400.00"
"008BBC","2017-07-22 01:09:00+00","139300.00"
"008C12","2017-07-02 01:51:00+00","59200.00"
