"ticket_no","flight_id","boarding_no","seat_no"
"0005435628670",728,1,"1A"
"0005435628672",728,2,"2A"
"0005435628669",728,3,"4B"
"0005435628671",728,4,"6A"
"0005433348889",15900,1,"1A"
"0005433348891",15900,2,"2A"
"0005433348887",15900,3,"3B"
"0005433348888",15900,4,"5B"
"0005433348890",15900,5,"6B"
"0005433159275",17677,1,"4A"
"0005433159274",17677,2,"6A"
"0005433159276",17677,3,"6B"
"0005435132700",7862,1,"2B"
"0005435132696",7862,2,"2D"
"0005435132694",7862,3,"3D"
"0005435132695",7862,4,"4B"
"0005435132698",7862,5,"5A"
"0005435132697",7862,6,"6A"
"0005435132699",7862,7,"7D"
"0005435132703",7862,8,"19B"
"0005435132704",7862,9,"20A"
"0005435132702",7862,10,"21C"
"0005435132701",7862,11,"23A"
"0005435383058",33092,1,"1A"
"0005435383057",33092,2,"5C"
"0005435383056",33092,3,"6B"
"0005435383059",33092,4,"18B"
"0005435383055",33092,5,"22B"
"0005435160112",7477,1,"4C"
"0005435160111",7477,2,"6A"
"0005435160104",7477,3,"7C"
"0005435160106",7477,4,"7B"
"0005435160109",7477,5,"18B"
"0005435160103",7477,6,"18D"
"0005435160105",7477,7,"20A"
"0005435160110",7477,8,"21B"
"0005435160113",7477,9,"21C"
"0005435160107",7477,10,"21D"
"0005435160108",7477,11,"23B"
"0005435390116",29573,1,"1A"
"0005435390120",29573,2,"4A"
"0005435390121",29573,3,"4B"
"0005435390122",29573,4,"5C"
"0005435390118",29573,5,"7C"
"0005435390117",29573,6,"21A"
"0005435390119",29573,7,"21D"
"0005434503467",6547,1,"2C"
"0005434503492",6547,2,"2F"
"0005434503487",6547,3,"4A"
"0005434503465",6547,4,"4C"
"0005434503495",6547,5,"4F"
"0005434503472",6547,6,"5A"
"0005434503463",6547,7,"5D"
"0005434503469",6547,8,"5E"
"0005434503460",6547,9,"5F"
"0005434503488",6547,10,"6C"
"0005434503484",6547,11,"6D"
"0005434503490",6547,12,"6E"
"0005434503468",6547,13,"6F"
"0005434503482",6547,14,"7A"
"0005435103797",6547,15,"7D"
"0005435103796",6547,16,"7E"
"0005434503479",6547,17,"8A"
"0005435103802",6547,18,"8C"
"0005434503471",6547,19,"8D"
"0005434503494",6547,20,"8E"
"0005434503483",6547,21,"8F"
"0005434503474",6547,22,"9C"
"0005434503464",6547,23,"9D"
"0005434503476",6547,24,"9E"
"0005435103803",6547,25,"10A"
"0005434503462",6547,26,"10C"
"0005434503459",6547,27,"10E"
"0005435103799",6547,28,"10F"
"0005434503458",6547,29,"11C"
"0005434503466",6547,30,"11F"
"0005434503478",6547,31,"12A"
"0005434503470",6547,32,"12C"
"0005434503486",6547,33,"13C"
"0005434503489",6547,34,"13F"
"0005434503491",6547,35,"14A"
"0005435103793",6547,36,"14D"
"0005435103795",6547,37,"14E"
"0005434503485",6547,38,"14F"
"0005434503477",6547,39,"15C"
"0005434503461",6547,40,"15E"
"0005434503473",6547,41,"15F"
"0005434503496",6547,42,"16D"
"0005435103794",6547,43,"16E"
"0005434503475",6547,44,"17E"
"0005434503493",6547,45,"17F"
"0005435103801",6547,46,"18D"
"0005435103798",6547,47,"19A"
"0005435103800",6547,48,"20A"
"0005434503481",6547,49,"20C"
"0005434503480",6547,50,"20E"
"0005435652274",1654,1,"1A"
"0005435652282",1654,2,"1D"
"0005435652261",1654,3,"2C"
"0005435652269",1654,4,"2F"
"0005435652292",1654,5,"3C"
"0005435652275",1654,6,"4A"
"0005435652281",1654,7,"4C"
"0005435652283",1654,8,"5D"
"0005435652263",1654,9,"5E"
"0005435652260",1654,10,"6D"
"0005435652264",1654,11,"6F"
"0005435652278",1654,12,"7A"
"0005435652266",1654,13,"7D"
"0005435652272",1654,14,"7F"
"0005435652250",1654,15,"8A"
"0005435652254",1654,16,"8C"
"0005435652268",1654,17,"8E"
"0005435652253",1654,18,"9C"
"0005435652279",1654,19,"9D"
"0005435652276",1654,20,"9E"
"0005435652251",1654,21,"10A"
"0005435652273",1654,22,"10C"
"0005435652252",1654,23,"11A"
"0005435652295",1654,24,"11C"
"0005435652284",1654,25,"11D"
"0005435652259",1654,26,"11E"
"0005435652265",1654,27,"12C"
"0005435652262",1654,28,"12D"
"0005435652267",1654,29,"12E"
"0005435652280",1654,30,"13A"
"0005435652294",1654,31,"13C"
"0005435652296",1654,32,"13D"
"0005435652257",1654,33,"13E"
"0005435652288",1654,34,"14C"
"0005435652271",1654,35,"14D"
"0005435652285",1654,36,"15D"
"0005435652258",1654,37,"15E"
"0005435652286",1654,38,"15F"
"0005435652291",1654,39,"16A"
"0005435652293",1654,40,"16E"
"0005435652256",1654,41,"16D"
"0005435652270",1654,42,"17C"
"0005435652289",1654,43,"18C"
"0005435652287",1654,44,"18D"
"0005435652290",1654,45,"19E"
"0005435652277",1654,46,"19F"
"0005435652255",1654,47,"20D"
"0005433367257",21707,1,"1C"
"0005433367244",21707,2,"1D"
"0005433367258",21707,3,"1F"
"0005433367221",21707,4,"2F"
"0005433367224",21707,5,"4A"
"0005433367218",21707,6,"4D"
"0005433367240",21707,7,"4E"
"0005433367222",21707,8,"6D"
"0005433367227",21707,9,"6E"
"0005433367252",21707,10,"6F"
"0005433367256",21707,11,"7C"
"0005433367245",21707,12,"7F"
"0005433367247",21707,13,"8A"
"0005433367248",21707,14,"8D"
"0005433367251",21707,15,"8E"
"0005433367235",21707,16,"9E"
"0005433367246",21707,17,"10A"
"0005433367237",21707,18,"10C"
"0005433367242",21707,19,"10D"
"0005433367241",21707,20,"10E"
"0005433367234",21707,21,"10F"
"0005433367253",21707,22,"11D"
"0005433367250",21707,23,"11F"
"0005433367255",21707,24,"13D"
"0005433367231",21707,25,"13E"
"0005433367228",21707,26,"14D"
"0005433367220",21707,27,"14E"
"0005433367238",21707,28,"15A"
"0005433367219",21707,29,"15D"
"0005433367225",21707,30,"16A"
"0005433367226",21707,31,"16C"
"0005433367236",21707,32,"16D"
"0005433367230",21707,33,"17A"
"0005433367254",21707,34,"17C"
"0005433367239",21707,35,"18F"
"0005433367229",21707,36,"19A"
"0005433367232",21707,37,"19C"
"0005433367233",21707,38,"19D"
"0005433367249",21707,39,"19E"
"0005433367243",21707,40,"20A"
"0005433367223",21707,41,"20D"
"0005433985127",4135,1,"1D"
"0005433985129",4135,2,"1F"
"0005433985123",4135,3,"2A"
"0005433985126",4135,4,"2C"
"0005433985160",4135,5,"2F"
"0005435788725",4135,6,"3A"
"0005433985140",4135,7,"3D"
"0005433985155",4135,8,"3F"
"0005433985137",4135,9,"4A"
"0005433985159",4135,10,"4E"
"0005433985125",4135,11,"5A"
"0005433985154",4135,12,"5D"
"0005433985161",4135,13,"5E"
"0005433985122",4135,14,"5F"
"0005433985136",4135,15,"7D"
"0005433985148",4135,16,"8A"
"0005433985143",4135,17,"8E"
"0005433985131",4135,18,"9A"
"0005433985133",4135,19,"9C"
"0005433985158",4135,20,"9D"
"0005433985141",4135,21,"10A"
"0005433985134",4135,22,"10D"
"0005433985139",4135,23,"10F"
"0005435788726",4135,24,"11A"
"0005433985145",4135,25,"11E"
"0005433985152",4135,26,"12A"
"0005433985144",4135,27,"12C"
"0005433985147",4135,28,"12F"
"0005433985146",4135,29,"13A"
"0005435788727",4135,30,"13C"
"0005433985124",4135,31,"13D"
"0005435788728",4135,32,"13E"
"0005433985153",4135,33,"14A"
"0005433985156",4135,34,"14D"
"0005433985130",4135,35,"14E"
"0005433985150",4135,36,"17A"
"0005433985132",4135,37,"17D"
"0005433985151",4135,38,"17E"
"0005433985157",4135,39,"18F"
"0005433985135",4135,40,"19A"
"0005433985142",4135,41,"19E"
"0005433985128",4135,42,"19F"
"0005433985149",4135,43,"20D"
"0005433985138",4135,44,"20E"
"0005433168301",21332,1,"3B"
"0005433168299",21332,2,"3D"
"0005433168302",21332,3,"6C"
"0005433168300",21332,4,"20A"
"0005432869415",17856,1,"3F"
"0005432869416",17856,2,"8F"
"0005432869413",17856,3,"9A"
"0005434151654",17856,4,"12D"
"0005434151656",17856,5,"18E"
"0005432869412",17856,6,"19D"
"0005434151655",17856,7,"20C"
"0005432869414",17856,8,"20F"
"0005432327913",3108,1,"1D"
"0005432327892",3108,2,"2D"
"0005432327911",3108,3,"2F"
"0005432327914",3108,4,"3F"
"0005432287105",3108,5,"4D"
"0005432287101",3108,6,"4F"
"0005432287104",3108,7,"4E"
"0005432327915",3108,8,"5C"
"0005432327904",3108,9,"5E"
"0005432327907",3108,10,"5F"
"0005432327925",3108,11,"6A"
"0005432327930",3108,12,"6C"
"0005432327894",3108,13,"6D"
"0005432287100",3108,14,"6E"
"0005433438767",3108,15,"6F"
"0005432327931",3108,16,"7A"
"0005432327923",3108,17,"7C"
"0005432327898",3108,18,"7D"
"0005432327920",3108,19,"7E"
"0005432327928",3108,20,"8A"
"0005432327893",3108,21,"8C"
"0005432327921",3108,22,"8E"
"0005432327934",3108,23,"8F"
"0005432327912",3108,24,"9A"
"0005432327901",3108,25,"9C"
"0005432327929",3108,26,"9F"
"0005432327932",3108,27,"10A"
"0005432287099",3108,28,"10C"
"0005432327924",3108,29,"10D"
"0005432327903",3108,30,"10F"
"0005433438765",3108,31,"11C"
"0005432327890",3108,32,"11E"
"0005432327896",3108,33,"11F"
"0005433438764",3108,34,"12A"
"0005433438763",3108,35,"12C"
"0005432327917",3108,36,"12D"
"0005432327906",3108,37,"13A"
"0005432327910",3108,38,"13C"
"0005432287103",3108,39,"13D"
"0005432327919",3108,40,"13E"
"0005432327895",3108,41,"13F"
"0005432327926",3108,42,"14C"
"0005432327899",3108,43,"14D"
"0005432327902",3108,44,"14E"
"0005432327897",3108,45,"15A"
"0005432327909",3108,46,"15C"
"0005432287102",3108,47,"16D"
"0005433438766",3108,48,"17A"
"0005432327937",3108,49,"17C"
"0005432327891",3108,50,"17E"
"0005432327922",3108,51,"17F"
"0005432327905",3108,52,"18C"
"0005432327935",3108,53,"18D"
"0005432327900",3108,54,"18F"
"0005432327927",3108,55,"19A"
"0005432327936",3108,56,"19C"
"0005432327918",3108,57,"19D"
"0005432327908",3108,58,"20A"
"0005432327916",3108,59,"20D"
"0005432327933",3108,60,"20F"
"0005432905025",31103,1,"3F"
"0005432054254",31103,2,"4C"
"0005432905022",31103,3,"7E"
"0005432905024",31103,4,"11E"
"0005432905023",31103,5,"12E"
"0005432054252",31103,6,"13C"
"0005432905019",31103,7,"13F"
"0005432905020",31103,8,"14D"
"0005432905021",31103,9,"15C"
"0005432054253",31103,10,"19C"
"0005434309500",6223,1,"1A"
"0005434309510",6223,2,"1D"
"0005432146164",6223,3,"2D"
"0005434309502",6223,4,"3F"
"0005435998953",6223,5,"5C"
"0005435998957",6223,6,"5E"
"0005434309511",6223,7,"6C"
"0005435998963",6223,8,"6E"
"0005434309508",6223,9,"7A"
"0005434309506",6223,10,"7C"
"0005435998956",6223,11,"8C"
"0005435998965",6223,12,"9E"
"0005434309509",6223,13,"10B"
"0005435998964",6223,14,"11E"
"0005435998952",6223,15,"11F"
"0005435998959",6223,16,"12F"
"0005434309501",6223,17,"13E"
"0005435998962",6223,18,"14A"
"0005434309513",6223,19,"14C"
"0005434309512",6223,20,"14D"
"0005435998958",6223,21,"16A"
"0005435998954",6223,22,"17C"
"0005432146163",6223,23,"18A"
"0005435998966",6223,24,"18C"
"0005435998961",6223,25,"18E"
"0005434309505",6223,26,"18F"
"0005435998960",6223,27,"19A"
"0005434309507",6223,28,"19E"
"0005434309503",6223,29,"19F"
"0005435998967",6223,30,"20A"
"0005434309504",6223,31,"20E"
"0005432146165",6223,32,"21B"
"0005435998955",6223,33,"23A"
"0005435998951",6223,34,"23E"
"0005435296942",19528,1,"1D"
"0005435296939",19528,2,"2F"
"0005435296941",19528,3,"7A"
"0005435296938",19528,4,"7D"
"0005435296943",19528,5,"7F"
"0005435296940",19528,6,"16E"
"0005433158094",17534,1,"21B"
"0005433158093",17534,2,"22B"
"0005435501945",1567,1,"1A"
"0005435508176",1567,2,"1C"
"0005435501931",1567,3,"1F"
"0005434565681",1567,4,"2C"
"0005435501933",1567,5,"2D"
"0005434565690",1567,6,"3C"
"0005435517599",1567,7,"3D"
"0005435508167",1567,8,"3F"
"0005435501932",1567,9,"4A"
"0005435501936",1567,10,"4C"
"0005435501950",1567,11,"4D"
"0005434565688",1567,12,"5A"
"0005435517590",1567,13,"5D"
"0005435517605",1567,14,"5F"
"0005435508174",1567,15,"6C"
"0005435501947",1567,16,"6D"
"0005432291890",1567,17,"6E"
"0005435508166",1567,18,"6F"
"0005435501941",1567,19,"7A"
"0005434565686",1567,20,"7C"
"0005435517602",1567,21,"7D"
"0005435517591",1567,22,"7E"
"0005434565678",1567,23,"7F"
"0005435517595",1567,24,"8A"
"0005435501937",1567,25,"8D"
"0005435508164",1567,26,"8E"
"0005434565684",1567,27,"8F"
"0005435501943",1567,28,"9A"
"0005434565687",1567,29,"9E"
"0005435517604",1567,30,"9F"
"0005435501948",1567,31,"10A"
"0005435517596",1567,32,"10D"
"0005435501946",1567,33,"10E"
"0005435517603",1567,34,"11A"
"0005432291889",1567,35,"11C"
"0005435517594",1567,36,"11D"
"0005435508173",1567,37,"11E"
"0005435501944",1567,38,"11F"
"0005434565679",1567,39,"12A"
"0005435508171",1567,40,"12C"
"0005435517600",1567,41,"12D"
"0005434565682",1567,42,"12E"
"0005435508170",1567,43,"13A"
"0005435501952",1567,44,"13C"
"0005435501935",1567,45,"13D"
"0005435508165",1567,46,"13E"
"0005435501938",1567,47,"13F"
"0005435508175",1567,48,"14A"
"0005434565689",1567,49,"14C"
"0005435517585",1567,50,"14D"
"0005435517601",1567,51,"14E"
"0005435517587",1567,52,"15A"
"0005435501949",1567,53,"14F"
"0005435517598",1567,54,"15C"
"0005434565691",1567,55,"15D"
"0005435517589",1567,56,"15E"
"0005435508168",1567,57,"15F"
"0005435517588",1567,58,"16C"
"0005435501940",1567,59,"16F"
"0005435501951",1567,60,"17A"
"0005434565677",1567,61,"17C"
"0005434565685",1567,62,"17E"
"0005435517592",1567,63,"18A"
"0005435501942",1567,64,"18C"
"0005434565683",1567,65,"18D"
"0005435517597",1567,66,"18E"
"0005435501934",1567,67,"18F"
"0005435508169",1567,68,"19C"
"0005435517593",1567,69,"19D"
"0005435517586",1567,70,"19F"
"0005435501939",1567,71,"20A"
"0005435517606",1567,72,"20D"
"0005434565680",1567,73,"20E"
"0005435508172",1567,74,"20F"
"0005433185971",20846,1,"2A"
"0005433185974",20846,2,"3A"
"0005433185975",20846,3,"4D"
"0005433185970",20846,4,"5C"
"0005433185968",20846,5,"6F"
"0005433185969",20846,6,"7E"
"0005433185973",20846,7,"18C"
"0005433185972",20846,8,"20F"
"0005435153627",3925,1,"1B"
"0005435153628",3925,2,"2D"
"0005435153626",3925,3,"3B"
"0005435153631",3925,4,"7C"
"0005435153629",3925,5,"18D"
"0005435153630",3925,6,"20D"
"0005435931536",21848,1,"6C"
"0005435931538",21848,2,"18C"
"0005435931537",21848,3,"22D"
"0005432628586",7226,1,"1A"
"0005432628591",7226,2,"2D"
"0005432628592",7226,3,"3D"
"0005432628588",7226,4,"4B"
"0005432628593",7226,5,"4D"
"0005432628595",7226,6,"5C"
"0005432628596",7226,7,"5D"
"0005432628597",7226,8,"6A"
"0005432628599",7226,9,"18A"
"0005432628594",7226,10,"19A"
"0005432628589",7226,11,"20A"
"0005432628590",7226,12,"20C"
"0005432628585",7226,13,"21A"
"0005432628598",7226,14,"21B"
"0005432628587",7226,15,"22C"
"0005435225447",28100,1,"2A"
"0005435225445",28100,2,"18D"
"0005435225446",28100,3,"19A"
"0005435225449",28100,4,"20D"
"0005435225444",28100,5,"21A"
"0005435225443",28100,6,"22A"
"0005435225448",28100,7,"22B"
"0005435959984",8719,1,"6C"
"0005435959983",8719,2,"7C"
"0005435959985",8719,3,"18A"
"0005435959982",8719,4,"20A"
"0005434267884",15264,1,"2A"
"0005434267885",15264,2,"3B"
"0005434267886",15264,3,"5A"
"0005432674869",1214,1,"2A"
"0005432674874",1214,2,"2F"
"0005432674868",1214,3,"3C"
"0005432674866",1214,4,"3F"
"0005432674876",1214,5,"4C"
"0005432674865",1214,6,"5A"
"0005432674875",1214,7,"7D"
"0005432674873",1214,8,"8C"
"0005432674872",1214,9,"10A"
"0005432674867",1214,10,"14F"
"0005432674871",1214,11,"17E"
"0005432674863",1214,12,"18F"
"0005432674870",1214,13,"19B"
"0005432674877",1214,14,"19F"
"0005432674864",1214,15,"20B"
"0005432873167",17509,1,"3D"
"0005432873168",17509,2,"3C"
"0005432873172",17509,3,"5A"
"0005432873165",17509,4,"7A"
"0005432873171",17509,5,"7F"
"0005432873166",17509,6,"10D"
"0005432873173",17509,7,"14C"
"0005432873169",17509,8,"17C"
"0005432873170",17509,9,"20D"
"0005434434912",1127,1,"2A"
"0005434434913",1127,2,"2B"
"0005434434915",1127,3,"3C"
"0005434434918",1127,4,"3D"
"0005434434919",1127,5,"4C"
"0005434434922",1127,6,"5B"
"0005434434924",1127,7,"5C"
"0005434434910",1127,8,"7B"
"0005434434914",1127,9,"18B"
"0005434434909",1127,10,"19C"
"0005434434921",1127,11,"19D"
"0005434434911",1127,12,"20D"
"0005434434920",1127,13,"21B"
"0005434434916",1127,14,"21C"
"0005434434917",1127,15,"22A"
"0005434434923",1127,16,"22D"
"0005433156598",17301,1,"1C"
"0005433156599",17301,2,"2B"
"0005433156605",17301,3,"3D"
"0005433156604",17301,4,"4A"
"0005433156597",17301,5,"4C"
"0005433156603",17301,6,"20A"
"0005433156600",17301,7,"21D"
"0005433156602",17301,8,"22C"
"0005433156601",17301,9,"22D"
"0005435086706",4103,1,"2D"
"0005435086702",4103,2,"3A"
"0005435086704",4103,3,"5A"
"0005435086703",4103,4,"19D"
"0005435086701",4103,5,"21C"
"0005435086705",4103,6,"22B"
"0005435086700",4103,7,"22D"
"0005435928060",24384,1,"1B"
"0005435928061",24384,2,"2D"
"0005435928057",24384,3,"3A"
"0005435928059",24384,4,"7B"
"0005435928058",24384,5,"19A"
"0005435551493",17003,1,"3F"
"0005435551492",17003,2,"4A"
"0005435551491",17003,3,"4G"
"0005435098522",17003,4,"13F"
"0005435098521",17003,5,"14H"
"0005435551490",17003,6,"20F"
"0005434625797",4822,1,"4D"
"0005434625796",4822,2,"6D"
"0005434625798",4822,3,"8A"
"0005434625793",4822,4,"10E"
"0005434625802",4822,5,"11D"
"0005434625799",4822,6,"12F"
"0005434625794",4822,7,"14F"
"0005434625801",4822,8,"19A"
"0005434625795",4822,9,"19F"
"0005434625800",4822,10,"20C"
"0005435907416",32920,1,"1D"
"0005435907418",32920,2,"5F"
"0005433194818",32920,3,"9E"
"0005435907417",32920,4,"11A"
"0005433194819",32920,5,"11F"
